,Date,Time,Title,Description,Category,Priority,Status,Location,Department,Class,Year,Month,Day/Night,Quarter,Week,Response Time(min),Resolution Time(min),Duration(min),Priority_,Status_,Department_,Location_,Class_
0,2023-06-25,08:55:00,Application Bug,Users are experiencing unexpected errors in the application.,0,Medium,Open,Office,Applications,Application,2023,June,day,Second,25,0,0,0,2,1,1,1,0
1,2022-06-28,03:22:55,Application Upgrade Incompatibility,An application upgrade introduces incompatibility issues with other systems or components.,1,High,Resolved,Server Room,Applications,Application,2022,June,night,Second,26,20,40,60,3,3,1,2,0
2,2020-12-26,05:50:32,Database Query Timeout,Database queries are timing out causing delays in data retrieval and processing.,2,Medium,Resolved,Data Center,IT,Performance,2020,December,night,Fourth,52,15,30,45,2,3,2,3,1
3,2023-01-12,14:10:00,Software License Expiry,The software license has expired.,3,Low,Resolved,Office,IT,Infrastructure,2023,January,day,First,2,5,5,10,1,3,2,1,2
4,2021-03-03,13:35:32,Application Freeze or Hang,An application freezes or hangs becoming unresponsive and requiring a restart or termination.,4,High,Resolved,Office,IT,Performance,2021,March,day,First,9,5,10,15,3,3,2,1,1
5,2021-04-15,11:00:46,Network Routing Issue,The network routing configuration needs to be updated to ensure proper traffic flow.,5,Medium,Resolved,Data Center,IT,Network,2021,April,day,Second,15,30,60,90,2,3,2,3,3
6,2023-07-08,10:05:00,Database Performance Degradation,Slow response time from the database server.,4,Medium,In Progress,Office,Applications,Performance,2023,July,day,Third,27,0,0,0,2,2,1,1,1
7,2022-05-08,03:17:25,Network DNS Resolution Issue,DNS resolution is not functioning correctly causing difficulties in accessing network resources.,6,High,Resolved,Data Center,IT,Network,2022,May,night,Second,18,20,40,60,3,3,2,3,3
8,2023-01-09,09:20:00,Application Update Required,The application requires an update to address security vulnerabilities.,7,High,In Progress,Office,Applications,Application,2023,January,day,First,2,0,0,0,3,2,1,1,0
9,2021-10-01,23:32:32,Server Room Cooling System Failure,The cooling system in the server room fails resulting in increased temperature and potential equipment damage.,8,Critical,Resolved,Server Room,Infrastructure,Infrastructure,2021,October,night,Fourth,39,10,20,30,4,3,3,2,2
10,2023-09-16,13:10:00,Printer Offline,The printer is offline and not responding.,9,Low,Resolved,Office,Infrastructure,Hardware,2023,September,day,Third,37,5,10,15,1,3,3,1,4
11,2023-02-23,12:37:30,Application Hang,An application hangs and stops responding to user input requiring termination.,0,High,Resolved,Office,IT,Application,2023,February,day,First,8,10,20,30,3,3,2,1,0
12,2022-12-11,00:26:48,Database Server Crash,The database server crashes unexpectedly requiring system restart and recovery.,8,Critical,Resolved,Data Center,IT,Infrastructure,2022,December,night,Fourth,49,30,60,90,4,3,2,3,2
13,2023-01-23,07:24:56,Network Firewall Misconfiguration,The network firewall is misconfigured allowing unauthorized access to the network.,10,Critical,Resolved,Data Center,IT,Security,2023,January,day,First,4,15,30,45,4,3,2,3,5
14,2021-03-06,10:01:52,Data Access Logging Issue,Issues arise with logging data access activities hindering the auditability and traceability of data access.,11,Medium,Resolved,Office,IT,Data,2021,March,day,First,9,20,40,60,2,3,2,1,6
15,2023-11-16,09:55:00,Printer Offline,The printer is offline and not responding.,9,Low,Resolved,Office,Infrastructure,Hardware,2023,November,day,Fourth,46,5,10,15,1,3,3,1,4
16,2022-08-15,11:35:40,Database Query Optimization,Database queries need optimization to improve performance and reduce response times.,2,Medium,Resolved,Data Center,IT,Performance,2022,August,day,Third,33,20,40,60,2,3,2,3,1
17,2022-06-11,01:32:45,Data Backup Verification Failure,A failure occurs in verifying the integrity or completeness of data backups raising concerns about their reliability.,11,Medium,Resolved,Data Center,IT,Data,2022,June,night,Second,23,10,20,30,2,3,2,3,6
